year	val	trend
1864	-3.39	-3.04
1865	-3.18	-3.02
1866	-4.36	-3.00
1867	-1.40	-2.98
1868	-1.84	-2.96
1869	-3.48	-2.95
1870	-4.50	-2.93
1871	-1.74	-2.91
1872	-3.47	-2.89
1873	-0.79	-2.87
1874	-3.44	-2.86
1875	-0.78	-2.84
1876	-1.25	-2.82
1877	-0.83	-2.80
1878	-2.19	-2.79
1879	-0.33	-2.77
1880	-3.21	-2.75
1881	-1.64	-2.73
1882	-4.06	-2.71
1883	-2.70	-2.70
1884	-1.72	-2.68
1885	-2.55	-2.66
1886	-2.23	-2.64
1887	-2.27	-2.62
1888	-3.54	-2.61
1889	-3.27	-2.59
1890	-2.90	-2.57
1891	-3.78	-2.55
1892	-0.97	-2.53
1893	-1.04	-2.52
1894	-2.62	-2.50
1895	-2.37	-2.48
1896	-5.11	-2.46
1897	-2.10	-2.45
1898	-0.44	-2.43
1899	-0.75	-2.41
1900	-3.05	-2.39
1901	-2.50	-2.37
1902	-2.85	-2.36
1903	-2.15	-2.34
1904	-1.15	-2.32
1905	-2.20	-2.30
1906	-0.94	-2.28
1907	-1.36	-2.27
1908	-3.51	-2.25
1909	-2.54	-2.23
1910	-2.92	-2.21
1911	 0.92	-2.19
1912	-5.28	-2.18
1913	-3.16	-2.16
1914	-2.10	-2.14
1915	-3.43	-2.12
1916	-2.66	-2.11
1917	-2.91	-2.09
1918	-2.41	-2.07
1919	-0.42	-2.05
1920	-3.77	-2.03
1921	-1.77	-2.02
1922	-2.11	-2.00
1923	-0.71	-1.98
1924	-5.02	-1.96
1925	-2.54	-1.94
1926	-1.60	-1.93
1927	-2.58	-1.91
1928	-0.23	-1.89
1929	-1.69	-1.87
1930	-1.98	-1.85
1931	-3.61	-1.84
1932	 0.76	-1.82
1933	-0.43	-1.80
1934	-2.88	-1.78
1935	-2.58	-1.77
1936	-2.00	-1.75
1937	-1.72	-1.73
1938	-2.21	-1.71
1939	-1.79	-1.69
1940	-3.13	-1.68
1941	-3.27	-1.66
1942	-1.44	-1.64
1943	 0.08	-1.62
1944	 1.52	-1.60
1945	-2.32	-1.59
1946	-2.02	-1.57
1947	 0.83	-1.55
1948	-1.88	-1.53
1949	-0.84	-1.51
1950	-1.07	-1.50
1951	-1.84	-1.48
1952	-0.65	-1.46
1953	-1.48	-1.44
1954	-3.27	-1.43
1955	-2.68	-1.41
1956	-3.40	-1.39
1957	-2.94	-1.37
1958	-0.94	-1.35
1959	-2.07	-1.34
1960	-2.62	-1.32
1961	-2.06	-1.30
1962	-0.10	-1.28
1963	-3.03	-1.26
1964	-2.29	-1.25
1965	-3.05	-1.23
1966	-3.26	-1.21
1967	-1.80	-1.19
1968	-3.62	-1.17
1969	-2.82	-1.16
1970	-1.69	-1.14
1971	-0.33	-1.12
1972	-2.63	-1.10
1973	 0.01	-1.09
1974	-0.71	-1.07
1975	-1.36	-1.05
1976	-3.23	-1.03
1977	-3.30	-1.01
1978	-3.02	-1.00
1979	-3.03	-0.98
1980	-0.93	-0.96
1981	-1.01	-0.94
1982	-1.95	-0.92
1983	-1.00	-0.91
1984	-1.96	-0.89
1985	-1.44	-0.87
1986	-1.57	-0.85
1987	-1.24	-0.83
1988	-0.56	-0.82
1989	-1.00	-0.80
1990	-0.04	-0.78
1991	 0.97	-0.76
1992	 1.85	-0.75
1993	-0.50	-0.73
1994	 0.66	-0.71
1995	-1.34	-0.69
1996	-1.93	-0.67
1997	 0.63	-0.66
1998	 0.04	-0.64
1999	-0.59	-0.62
2000	 0.32	-0.60
2001	 0.65	-0.58
2002	-1.32	-0.57
2003	 3.54	-0.55
2004	-0.31	-0.53
2005	-2.37	-0.51
2006	-3.90	-0.49
2007	-1.47	-0.48
2008	-0.63	-0.46
2009	 1.37	-0.44
2010	-1.47	-0.42
2011	 0.83	-0.41
2012	 1.19	-0.39
2013	 0.07	-0.37
2014	-2.24	-0.35
2015	 1.22	-0.33
2016	 0.46	-0.32
2017	 1.11	-0.30
2018	 1.54	-0.28
2019	 0.76	-0.26
2020	 0.86	-0.24
2021	-1.24	-0.23
2022	 1.79	-0.21
2023	 1.22	-0.19
2024	 2.65	-0.17
