year	val	loess	conf.l	conf.u	rank.h	rank.l
1864	10.95	11.64	10.77	12.52	143	19
1865	11.16	11.67	10.84	12.51	135	27
1866	 9.99	11.70	10.90	12.49	157	5
1867	12.94	11.72	10.97	12.47	66	96
1868	12.50	11.74	11.03	12.45	83	79
1869	10.87	11.76	11.08	12.44	148	14
1870	 9.84	11.78	11.14	12.42	158	4
1871	12.61	11.80	11.19	12.41	79	83
1872	10.88	11.82	11.24	12.40	147	15
1873	13.55	11.83	11.28	12.38	46	116
1874	10.91	11.85	11.33	12.37	146	16
1875	13.57	11.87	11.36	12.37	45	117
1876	13.10	11.88	11.40	12.37	61	101
1877	13.51	11.90	11.43	12.37	47	115
1878	12.16	11.92	11.46	12.37	98	64
1879	14.02	11.94	11.49	12.38	32	130
1880	11.13	11.95	11.51	12.40	136	26
1881	12.71	11.97	11.53	12.42	74	88
1882	10.29	11.99	11.54	12.44	156	6
1883	11.64	12.01	11.55	12.47	120	42
1884	12.62	12.02	11.55	12.49	78	84
1885	11.80	12.02	11.56	12.49	112	50
1886	12.12	12.02	11.56	12.49	101	61
1887	12.08	12.02	11.55	12.49	103	59
1888	10.81	12.02	11.55	12.49	150	12
1889	11.08	12.01	11.55	12.48	140	22
1890	11.44	12.01	11.54	12.48	124	38
1891	10.57	12.00	11.54	12.47	154	8
1892	13.37	12.00	11.53	12.47	52	110
1893	13.30	12.00	11.53	12.47	56	106
1894	11.72	12.00	11.54	12.47	116	46
1895	11.98	12.01	11.54	12.48	106	56
1896	 9.24	12.02	11.55	12.48	160	2
1897	12.25	12.02	11.56	12.49	95	67
1898	13.90	12.03	11.56	12.50	36	126
1899	13.60	12.04	11.57	12.50	44	118
1900	11.30	12.04	11.57	12.51	132	30
1901	11.84	12.04	11.58	12.51	109	53
1902	11.50	12.05	11.58	12.51	122	40
1903	12.20	12.05	11.58	12.52	97	65
1904	13.20	12.05	11.58	12.52	58	104
1905	12.14	12.05	11.58	12.52	99	63
1906	13.41	12.05	11.58	12.52	51	111
1907	12.99	12.05	11.58	12.52	64	98
1908	10.83	12.05	11.58	12.52	149	13
1909	11.81	12.04	11.58	12.51	110	52
1910	11.42	12.04	11.57	12.51	126	36
1911	15.27	12.04	11.57	12.50	13	149
1912	 9.07	12.03	11.57	12.50	161	1
1913	11.19	12.04	11.57	12.50	134	28
1914	12.25	12.04	11.57	12.51	94	68
1915	10.92	12.04	11.57	12.51	145	17
1916	11.69	12.05	11.58	12.52	118	44
1917	11.43	12.06	11.59	12.52	125	37
1918	11.94	12.07	11.60	12.54	108	54
1919	13.93	12.08	11.62	12.55	34	128
1920	10.57	12.10	11.63	12.57	153	9
1921	12.57	12.12	11.65	12.58	80	82
1922	12.24	12.13	11.67	12.60	96	66
1923	13.63	12.15	11.68	12.62	42	120
1924	 9.32	12.17	11.70	12.64	159	3
1925	11.80	12.20	11.73	12.66	111	51
1926	12.74	12.22	11.76	12.69	73	89
1927	11.77	12.26	11.79	12.72	113	49
1928	14.12	12.29	11.82	12.76	30	132
1929	12.66	12.33	11.86	12.80	75	87
1930	12.37	12.37	11.91	12.84	89	73
1931	10.74	12.42	11.95	12.89	151	11
1932	15.11	12.47	12.00	12.94	18	144
1933	13.92	12.52	12.05	12.98	35	127
1934	11.46	12.56	12.09	13.03	123	39
1935	11.77	12.61	12.14	13.07	114	48
1936	12.35	12.65	12.18	13.11	90	72
1937	12.63	12.68	12.21	13.15	77	85
1938	12.13	12.71	12.24	13.18	100	62
1939	12.56	12.73	12.26	13.20	81	81
1940	11.22	12.74	12.27	13.21	133	29
1941	11.08	12.74	12.28	13.21	139	23
1942	12.91	12.74	12.27	13.21	68	94
1943	14.43	12.73	12.27	13.20	24	138
1944	15.86	12.72	12.25	13.19	6	156
1945	12.02	12.71	12.24	13.18	105	57
1946	12.33	12.69	12.23	13.16	91	71
1947	15.18	12.68	12.21	13.15	15	147
1948	12.46	12.66	12.20	13.13	85	77
1949	13.51	12.65	12.18	13.12	48	114
1950	13.28	12.63	12.16	13.10	57	105
1951	12.50	12.61	12.14	13.08	84	78
1952	13.70	12.58	12.12	13.05	41	121
1953	12.87	12.56	12.09	13.03	71	91
1954	11.08	12.53	12.06	13.00	141	21
1955	11.66	12.50	12.03	12.97	119	43
1956	10.95	12.47	12.00	12.94	144	18
1957	11.41	12.44	11.97	12.91	127	35
1958	13.41	12.41	11.94	12.88	50	112
1959	12.28	12.38	11.91	12.85	93	69
1960	11.73	12.34	11.88	12.81	115	47
1961	12.29	12.31	11.85	12.78	92	70
1962	14.25	12.28	11.82	12.75	29	133
1963	11.32	12.26	11.79	12.73	129	33
1964	12.06	12.25	11.78	12.71	104	58
1965	11.30	12.24	11.77	12.70	131	31
1966	11.09	12.23	11.76	12.70	138	24
1967	12.55	12.23	11.77	12.70	82	80
1968	10.73	12.24	11.78	12.71	152	10
1969	11.53	12.26	11.79	12.72	121	41
1970	12.65	12.28	11.81	12.74	76	86
1971	14.01	12.30	11.84	12.77	33	129
1972	11.71	12.34	11.87	12.80	117	45
1973	14.36	12.38	11.91	12.85	27	135
1974	13.63	12.43	11.96	12.90	43	119
1975	12.99	12.48	12.02	12.95	65	97
1976	11.12	12.55	12.08	13.02	137	25
1977	11.05	12.62	12.15	13.09	142	20
1978	11.32	12.69	12.23	13.16	128	34
1979	11.31	12.77	12.30	13.24	130	32
1980	13.41	12.85	12.38	13.32	49	113
1981	13.34	12.93	12.46	13.40	55	107
1982	12.39	13.01	12.54	13.48	87	75
1983	13.35	13.09	12.62	13.56	53	109
1984	12.39	13.17	12.70	13.64	88	74
1985	12.91	13.25	12.78	13.72	67	95
1986	12.77	13.32	12.86	13.79	72	90
1987	13.11	13.40	12.93	13.86	60	102
1988	13.78	13.47	13.00	13.93	38	124
1989	13.34	13.53	13.06	14.00	54	108
1990	14.31	13.59	13.12	14.06	28	134
1991	15.32	13.65	13.18	14.12	12	150
1992	16.19	13.71	13.24	14.18	3	159
1993	13.84	13.76	13.30	14.23	37	125
1994	15.01	13.82	13.35	14.28	19	143
1995	13.00	13.87	13.40	14.33	63	99
1996	12.41	13.91	13.44	14.38	86	76
1997	14.98	13.94	13.48	14.41	21	141
1998	14.38	13.98	13.51	14.45	26	136
1999	13.76	14.01	13.54	14.48	39	123
2000	14.67	14.04	13.57	14.51	23	139
2001	14.99	14.07	13.60	14.54	20	142
2002	13.03	14.10	13.63	14.57	62	100
2003	17.89	14.13	13.66	14.60	1	161
2004	14.04	14.16	13.69	14.62	31	131
2005	11.97	14.20	13.75	14.66	107	55
2006	10.45	14.26	13.81	14.71	155	7
2007	12.88	14.31	13.86	14.75	69	93
2008	13.71	14.36	13.92	14.81	40	122
2009	15.72	14.42	13.97	14.86	7	155
2010	12.88	14.47	14.01	14.92	70	92
2011	15.18	14.52	14.06	14.99	16	146
2012	15.54	14.58	14.10	15.06	10	152
2013	14.41	14.64	14.14	15.14	25	137
2014	12.10	14.70	14.17	15.22	102	60
2015	15.57	14.76	14.21	15.31	9	153
2016	14.80	14.82	14.24	15.40	22	140
2017	15.46	14.88	14.27	15.49	11	151
2018	15.89	14.94	14.30	15.59	5	157
2019	15.12	15.01	14.33	15.69	17	145
2020	15.22	15.08	14.36	15.79	14	148
2021	13.12	15.15	14.39	15.90	59	103
2022	16.15	15.22	14.42	16.01	4	158
2023	15.58	15.29	14.45	16.12	8	154
2024	17.07	15.36	14.48	16.24	2	160
