year	val
1864	-3.61
1865	-3.32
1866	-4.71
1867	-1.48
1868	-2.12
1869	-3.76
1870	-5.03
1871	-1.95
1872	-3.73
1873	-1.11
1874	-3.59
1875	-0.91
1876	-1.52
1877	-0.89
1878	-2.27
1879	-0.24
1880	-3.54
1881	-1.81
1882	-4.44
1883	-2.75
1884	-1.91
1885	-2.72
1886	-2.37
1887	-2.3
1888	-3.65
1889	-3.42
1890	-2.93
1891	-4.1
1892	-1.03
1893	-1.28
1894	-2.63
1895	-2.58
1896	-5.4
1897	-2.09
1898	-0.5
1899	-0.87
1900	-3.05
1901	-2.31
1902	-2.9
1903	-2.08
1904	-1.41
1905	-2.26
1906	-0.99
1907	-1.29
1908	-3.47
1909	-2.51
1910	-3.04
1911	0.64
1912	-5.37
1913	-3.07
1914	-1.86
1915	-3.56
1916	-2.76
1917	-2.85
1918	-2.56
1919	-0.65
1920	-3.89
1921	-1.75
1922	-1.76
1923	-0.48
1924	-5.04
1925	-2.55
1926	-1.43
1927	-2.47
1928	-0.04
1929	-1.42
1930	-1.7
1931	-3.52
1932	1.12
1933	-0.33
1934	-2.86
1935	-2.53
1936	-1.8
1937	-1.73
1938	-2.22
1939	-1.66
1940	-3.08
1941	-3.29
1942	-1.42
1943	0.07
1944	1.64
1945	-2.4
1946	-1.99
1947	0.6
1948	-1.7
1949	-1.09
1950	-0.97
1951	-1.64
1952	-0.71
1953	-1.51
1954	-3.37
1955	-2.86
1956	-3.15
1957	-2.95
1958	-0.77
1959	-2.16
1960	-2.64
1961	-1.97
1962	-0.08
1963	-3.03
1964	-2.36
1965	-3.13
1966	-3.21
1967	-1.73
1968	-3.76
1969	-3.08
1970	-1.83
1971	-0.16
1972	-2.64
1973	0.17
1974	-0.69
1975	-1.43
1976	-3.47
1977	-3.49
1978	-2.97
1979	-2.99
1980	-0.97
1981	-0.92
1982	-1.95
1983	-1.26
1984	-2.2
1985	-1.49
1986	-1.59
1987	-1.18
1988	-0.46
1989	-1.11
1990	-0.12
1991	0.96
1992	1.87
1993	-0.3
1994	0.58
1995	-1.65
1996	-1.96
1997	0.6
1998	0.22
1999	-0.55
2000	0.43
2001	0.75
2002	-1.38
2003	3.36
2004	-0.34
2005	-2.61
2006	-4.27
2007	-1.43
2008	-0.48
2009	1.46
2010	-1.63
2011	1.04
2012	1.4
2013	0.11
2014	-2.37
2015	1.27
2016	0.5
2017	1.32
2018	1.32
2019	1.05
2020	0.75
2021	-1.23
2022	1.75
2023	1.12
2024	2.96
