year	val
1864	-3.23
1865	-3.16
1866	-4.13
1867	-1.36
1868	-1.57
1869	-3.33
1870	-4.03
1871	-1.59
1872	-3.32
1873	-0.52
1874	-3.41
1875	-0.74
1876	-1
1877	-0.89
1878	-2.14
1879	-0.59
1880	-2.93
1881	-1.61
1882	-3.82
1883	-2.79
1884	-1.62
1885	-2.46
1886	-2.17
1887	-2.34
1888	-3.61
1889	-3.2
1890	-2.98
1891	-3.44
1892	-0.91
1893	-0.83
1894	-2.7
1895	-2.16
1896	-4.77
1897	-2.08
1898	-0.44
1899	-0.65
1900	-2.98
1901	-2.83
1902	-2.85
1903	-2.4
1904	-0.93
1905	-2.1
1906	-0.97
1907	-1.53
1908	-3.64
1909	-2.64
1910	-2.87
1911	1.25
1912	-5.24
1913	-3.32
1914	-2.39
1915	-3.43
1916	-2.64
1917	-3.02
1918	-2.28
1919	-0.22
1920	-3.71
1921	-1.78
1922	-2.61
1923	-1.11
1924	-5.13
1925	-2.63
1926	-1.99
1927	-2.88
1928	-0.52
1929	-2
1930	-2.29
1931	-3.83
1932	0.34
1933	-0.58
1934	-2.92
1935	-2.67
1936	-2.36
1937	-1.68
1938	-2.21
1939	-1.9
1940	-3.31
1941	-3.26
1942	-1.5
1943	0.04
1944	1.47
1945	-2.27
1946	-2.15
1947	1.16
1948	-2.13
1949	-0.54
1950	-1.24
1951	-2.08
1952	-0.55
1953	-1.55
1954	-3.2
1955	-2.51
1956	-3.91
1957	-3
1958	-1.23
1959	-2.01
1960	-2.62
1961	-2.32
1962	-0.22
1963	-3.11
1964	-2.21
1965	-3.04
1966	-3.35
1967	-1.87
1968	-3.56
1969	-2.65
1970	-1.61
1971	-0.56
1972	-2.7
1973	-0.15
1974	-0.8
1975	-1.28
1976	-2.91
1977	-3.03
1978	-3.27
1979	-3.1
1980	-1.05
1981	-1.16
1982	-2.01
1983	-0.66
1984	-1.68
1985	-1.43
1986	-1.53
1987	-1.32
1988	-0.65
1989	-0.92
1990	0.12
1991	0.86
1992	1.91
1993	-0.79
1994	0.71
1995	-0.99
1996	-1.91
1997	0.76
1998	-0.22
1999	-0.62
2000	0.29
2001	0.51
2002	-1.28
2003	3.78
2004	-0.18
2005	-2.23
2006	-3.65
2007	-1.53
2008	-0.87
2009	1.3
2010	-1.36
2011	0.61
2012	0.95
2013	0.02
2014	-2.12
2015	1.34
2016	0.47
2017	0.93
2018	1.81
2019	0.51
2020	1
2021	-1.32
2022	1.89
2023	1.43
2024	2.45
