year	val
1864	-3.09
1865	-2.75
1866	-3.81
1867	-1.38
1868	-1.86
1869	-2.92
1870	-4.24
1871	-1.46
1872	-2.97
1873	-0.74
1874	-2.89
1875	-0.62
1876	-1.29
1877	-0.33
1878	-2.03
1879	0.31
1880	-3.07
1881	-0.93
1882	-3.3
1883	-2.16
1884	-1.41
1885	-2.18
1886	-1.97
1887	-1.91
1888	-2.83
1889	-2.86
1890	-2.53
1891	-3.87
1892	-1.06
1893	-1.01
1894	-2.25
1895	-2.35
1896	-5.32
1897	-2.22
1898	-0.28
1899	-0.77
1900	-3.24
1901	-1.9
1902	-2.52
1903	-1.5
1904	-1.04
1905	-2.4
1906	-0.58
1907	-1
1908	-3.03
1909	-2.15
1910	-2.69
1911	0.59
1912	-4.99
1913	-2.85
1914	-1.91
1915	-2.82
1916	-2.31
1917	-2.78
1918	-2.21
1919	-0.27
1920	-3.55
1921	-1.85
1922	-1.45
1923	-0.03
1924	-4.42
1925	-2.18
1926	-0.87
1927	-1.89
1928	0.11
1929	-1.54
1930	-1.91
1931	-3.05
1932	0.84
1933	-0.25
1934	-2.86
1935	-2.44
1936	-1.48
1937	-1.68
1938	-2.28
1939	-1.96
1940	-2.45
1941	-3.07
1942	-1.39
1943	0.3
1944	0.87
1945	-2.25
1946	-1.73
1947	0.43
1948	-1.61
1949	-0.93
1950	-0.91
1951	-1.8
1952	-0.92
1953	-1.17
1954	-3.24
1955	-2.68
1956	-2.36
1957	-2.63
1958	-0.46
1959	-2.02
1960	-2.74
1961	-1.38
1962	0.26
1963	-2.8
1964	-2.29
1965	-2.75
1966	-3.18
1967	-1.79
1968	-3.52
1969	-2.56
1970	-1.67
1971	-0.12
1972	-2.34
1973	-0.08
1974	-0.49
1975	-1.37
1976	-3.57
1977	-3.69
1978	-2.19
1979	-2.91
1980	-0.46
1981	-0.68
1982	-1.81
1983	-1.37
1984	-2.11
1985	-1.24
1986	-1.52
1987	-1.1
1988	-0.53
1989	-0.97
1990	-0.27
1991	1.48
1992	1.57
1993	-0.12
1994	0.86
1995	-1.48
1996	-1.97
1997	0.26
1998	0.29
1999	-0.62
2000	0.01
2001	0.71
2002	-1.38
2003	3.23
2004	-0.65
2005	-1.97
2006	-3.35
2007	-1.41
2008	-0.29
2009	1.27
2010	-1.26
2011	0.92
2012	1.44
2013	0.18
2014	-2.3
2015	0.62
2016	0.23
2017	1.05
2018	1.27
2019	0.65
2020	0.78
2021	-0.84
2022	1.64
2023	0.93
2024	2.86
