year	val
1864	-3.39
1865	-3.18
1866	-4.36
1867	-1.4
1868	-1.84
1869	-3.48
1870	-4.5
1871	-1.74
1872	-3.47
1873	-0.79
1874	-3.44
1875	-0.78
1876	-1.25
1877	-0.83
1878	-2.19
1879	-0.33
1880	-3.21
1881	-1.64
1882	-4.06
1883	-2.7
1884	-1.72
1885	-2.55
1886	-2.23
1887	-2.27
1888	-3.54
1889	-3.27
1890	-2.9
1891	-3.78
1892	-0.97
1893	-1.04
1894	-2.62
1895	-2.37
1896	-5.11
1897	-2.1
1898	-0.44
1899	-0.75
1900	-3.05
1901	-2.5
1902	-2.85
1903	-2.15
1904	-1.15
1905	-2.2
1906	-0.94
1907	-1.36
1908	-3.51
1909	-2.54
1910	-2.92
1911	0.92
1912	-5.28
1913	-3.16
1914	-2.1
1915	-3.43
1916	-2.66
1917	-2.91
1918	-2.41
1919	-0.42
1920	-3.77
1921	-1.77
1922	-2.11
1923	-0.71
1924	-5.02
1925	-2.54
1926	-1.6
1927	-2.58
1928	-0.23
1929	-1.69
1930	-1.98
1931	-3.61
1932	0.76
1933	-0.43
1934	-2.88
1935	-2.58
1936	-2
1937	-1.72
1938	-2.21
1939	-1.79
1940	-3.13
1941	-3.27
1942	-1.44
1943	0.08
1944	1.52
1945	-2.32
1946	-2.02
1947	0.83
1948	-1.88
1949	-0.84
1950	-1.07
1951	-1.84
1952	-0.65
1953	-1.48
1954	-3.27
1955	-2.68
1956	-3.4
1957	-2.94
1958	-0.94
1959	-2.07
1960	-2.62
1961	-2.06
1962	-0.1
1963	-3.03
1964	-2.29
1965	-3.05
1966	-3.26
1967	-1.8
1968	-3.62
1969	-2.82
1970	-1.69
1971	-0.33
1972	-2.63
1973	0.01
1974	-0.71
1975	-1.36
1976	-3.23
1977	-3.3
1978	-3.02
1979	-3.03
1980	-0.93
1981	-1.01
1982	-1.95
1983	-1
1984	-1.96
1985	-1.44
1986	-1.57
1987	-1.24
1988	-0.56
1989	-1
1990	-0.04
1991	0.97
1992	1.85
1993	-0.5
1994	0.66
1995	-1.34
1996	-1.93
1997	0.63
1998	0.04
1999	-0.59
2000	0.32
2001	0.65
2002	-1.32
2003	3.54
2004	-0.31
2005	-2.37
2006	-3.9
2007	-1.47
2008	-0.63
2009	1.37
2010	-1.47
2011	0.83
2012	1.19
2013	0.07
2014	-2.24
2015	1.22
2016	0.46
2017	1.11
2018	1.54
2019	0.76
2020	0.86
2021	-1.24
2022	1.79
2023	1.22
2024	2.72
