key;G;F;I;E
bulletin_monthly_temp_map_abs;Monatsmitteltemperaturen in °C für den {month_str(bulletin$month)} {bulletin$year}. Monatsmitteltemperaturen über 0 °C sind rot, Werte unter 0 °C blau eingefärbt.;Températures moyennes mensuelles en °C pour {tolower(month_str(bulletin$month))} {bulletin$year}. Les températures moyennes mensuelles supérieures à 0 °C sont en rouge, celles inférieures à 0 °C en bleu.;Temperature medie mensili in °C per {tolower(month_str(bulletin$month))} {bulletin$year}. Le temperature medie mensili superiori a 0 °C sono in rosso, quelle inferiori a 0 °C in blu.;Monthly mean temperatures in °C for {month_str(bulletin$month)} {bulletin$year}. Monthly mean temperatures above 0 °C are in red, while values below 0 °C are in blue.
bulletin_monthly_temp_map_anom;Abweichungen der Monatsmitteltemperatur von der Referenzperiode 1991-2020 in °C für den {month_str(bulletin$month)} {bulletin$year}. Abweichungen über der Referenz sind rot, Abweichungen unter der Referenz sind blau eingefärbt.;Écarts de la température moyenne mensuelle par rapport à la période de référence 1991-2020 en °C pour {tolower(month_str(bulletin$month))} {bulletin$year}. Les écarts au-dessus de la référence sont en rouge, ceux en dessous de la référence sont en bleu.;Deviazioni della temperatura media mensile rispetto al periodo di riferimento 1991-2020 in °C per {tolower(month_str(bulletin$month))} {bulletin$year}. Le deviazioni sopra il riferimento sono in rosso, quelli sotto il riferimento sono in blu.;Deviations of the monthly mean temperature from the reference period 1991-2020 in °C for {month_str(bulletin$month)} {bulletin$year}. Deviations above the reference are in red, while deviations below the reference are in blue.
bulletin_monthly_prec_map_abs;Monatliche Niederschlagssumme in mm für den {month_str(bulletin$month)} {bulletin$year}.;Somme mensuelle des précipitations en mm pour {tolower(month_str(bulletin$month))} {bulletin$year}.;Somma mensile delle precipitazioni in mm per {tolower(month_str(bulletin$month))} {bulletin$year}.;
bulletin_monthly_prec_map_anom;Abweichung der monatlichen Niederschlagssumme von der Referenzperiode 1991-2020 für den {month_str(bulletin$month)} {bulletin$year}, dargestellt in % der Referenz.;Écart de la somme mensuelle des précipitations par rapport à la période de référence 1991-2020 pour {tolower(month_str(bulletin$month))} {bulletin$year}, exprimé en % de la référence.;Rapporto della somma mensile delle precipitazioni rispetto al periodo di riferimento 1991-2020 per {tolower(month_str(bulletin$month))} {bulletin$year}, espresso in % del riferimento.;
bulletin_monthly_sunshine_map_abs;Verhältnis der effektiven Sonnenscheindauer zur maximal möglichen Sonnenscheindauer für den {month_str(bulletin$month)} {bulletin$year}.;Rapport de la durée effective d'ensoleillement à la durée d'ensoleillement maximale possible pour {tolower(month_str(bulletin$month))} {bulletin$year}.;Rapporto tra la durata effettiva e la durata massima possibile del soleggiamento per {tolower(month_str(bulletin$month))} {bulletin$year}.;
bulletin_monthly_sunshine_map_anom;Abweichung der monatlichen Sonnenscheindauer von der Referenzperiode 1991-2020 für den prod/zue/climate/others/zue/klimainformation/automatisierung_monatsbulletin/texfiles${month_str(bulletin$month)} {bulletin$year}, dargestellt in % der Referenz.;Écart de la durée mensuelle d'ensoleillement par rapport à la période de référence 1991-2020 pour {tolower(month_str(bulletin$month))} {bulletin$year}, exprimé en % de la référence.;Rapporto della durata mensile del soleggiamento rispetto al periodo di riferimento 1991-2020 per {tolower(month_str(bulletin$month))} {bulletin$year}, espresso in % del riferimento.;
bulletin_monthly_temp_table;Monatsmitteltemperatur für den Monat {month_str(bulletin$month)} an ausgewählten Stationen im Messnetz von MeteoSchweiz. Es ist jeweils die Höhe der Station, das aktuelle Monatsmittel, der Referenzwert (1991-2020) und die Abweichung zur Referenzperiode angegeben.;Température moyenne mensuelle pour {tolower(month_str(bulletin$month))} dans certaines stations du réseau de mesure de MétéoSuisse. Sont indiqués respectivement l\'altitude de la station, la moyenne mensuelle actuelle, la valeur de référence (1991-2020) et l\'écart par rapport à la période de référence.;Temperatura media mensile di {tolower(month_str(bulletin$month))} in stazioni selezionate di MeteoSvizzera. Vengono indicate la quota della stazione, la temperatura media mensile attuale, la temperatura media del periodo di riferimento (1991-2020) e la deviazione rispetto a quest\'ultima.;
bulletin_monthly_prec_table;Niederschlagssumme für den Monat {month_str(bulletin$month)} an ausgewählten Stationen im Messnetz von MeteoSchweiz. Es ist jeweils die Höhe der Station, die aktuelle Monatssumme, der Referenzwert (1991-2020) und das Verhältnis zur Referenzperiode angegeben.;Cumul mensuel des précipitations pour {tolower(month_str(bulletin$month))} dans certaines stations du réseau de mesure de MétéoSuisse. Sont indiqués respectivement l\'altitude de la station, la somme mensuelle actuelle, la valeur de référence (1991-2020) et l\'écart en pourcentage par rapport à la période de référence.;Totale mensile delle precipitazioni di {tolower(month_str(bulletin$month))} in stazioni selezionate di MeteoSvizzera. Vengono indicate la quota della stazione, la somma mensile attuale, il totale medio del periodo di riferimento (1991-2020) e la deviazione in percentuale rispetto a quest\'ultima.;
bulletin_monthly_sun_table;Sonnenscheindauer für den Monat {month_str(bulletin$month)} an ausgewählten Stationen im Messnetz von MeteoSchweiz. Es ist jeweils die Höhe der Station, die aktuelle Monatssumme, der Referenzwert (1991-2020) und das Verhältnis zur Referenzperiode angegeben.;Ensoleillement mensuel pour {tolower(month_str(bulletin$month))} dans certaines stations du réseau de mesure de MétéoSuisse. Sont indiqués respectivement l\'altitude de la station, la somme mensuelle actuelle, la valeur de référence (1991-2020) et l\'écart en pourcentage par rapport à la période de référence.;Durata del soleggiamento mensile di {tolower(month_str(bulletin$month))} in stazioni selezionate di MeteoSvizzera. Vengono indicate la quota della stazione, la somma mensile attuale, il totale medio del periodo di riferimento (1991-2020) e la deviazione in percentuale rispetto a quest\'ultima.;
climtab_stat;Station;Station;Stazione;Station
climtab_altitude;Höhe [m ü.M.];Altitude [m s.n.m.];Quota [m s.l.m.];Altitude [m a.s.l.]
climtab_temp_mean;Monatsmittel [°C];Moyenne mensuelle [°C];Media mensile [°C];Monthly mean [°C]
climtab_temp_ref;Referenz [°C];Référence [°C];Riferimento [°C];Reference [°C]
climtab_temp_dev;Abweichung [°C];Déviation [°C];Deviazione [°C];Deviation [°C]
climtab_prec_mean;Monatssumme [mm];Somme mensuelle [mm];Somma mensile [mm];
climtab_prec_ref;Referenz [mm];Référence [mm];Riferimento [mm];
climtab_prec_dev;Verhältnis zur Referenz [%];Rapport à la référence [%];Rapporto al riferimento [%];
climtab_sun_mean;Monatssumme [h];Somme mensuelle [h];Somma mensile [h];
climtab_sun_ref;Referenz [h];Référence [h];Riferimento [h];
climtab_sun_dev;Verhältnis zur Referenz [%];Rapport à la référence [%];Rapporto al riferimento [%];
daily_timeseries;Monatsverlauf der Lufttemperatur (Tagesmittel und Tagesmaxima/-minima), Tagessumme der Sonnenscheindauer und des Niederschlags und höchste Böenspitzen pro Tag an der Station {station_name} für den {bulletin$month_str} {bulletin$year}. Die mittlere Lufttemperatur ist als Abweichung zum klimatologischen Referenzwert 1991‒2020 dargestellt.;Evolution mensuelle de la température de l'air (moyenne journalière et maxima/minima journaliers), somme journalière de la durée d'ensoleillement et des précipitations et rafales maximales par jour à la station de {station_name} pour {bulletin$month_str} {bulletin$year}. La température moyenne de l'air est représentée en tant qu'écart par rapport à la valeur climatologique de référence 1991-2020.;Andamento mensile della temperatura dell'aria (media giornaliera e massime/minime giornaliere), della somma giornaliera della durata del soleggiamento e delle precipitazioni e dei picchi di raffica più elevati al giorno alla stazione di {station_name} per {bulletin$month_str} {bulletin$year}. La temperatura media dell'aria è indicata come deviazione dal valore climatologico di riferimento 1991-2020.;
edition_definitive;Definitives Bulletin;Bulletin définitif;Bollettino definitivo;
edition_provisional;Provisorisches Bulletin; Bulletin provisoire;Bollettino provvisorio;
table_label;Tabelle;Tableau;Tabelle;Table
bulletin_monthly_shorties_title;Kurzberichte;Messages courts;Messagi brevi
bulletin_monthly_shorties_linktext;Link zu weiterführenden Informationen;Lien vers des informations supplémentaires;Link a ulteriori informazioni;Link to further information
